Rank,Previous Rank,Track Name,Artist Names,Periods on Chart,Views,Growth,YouTube URL
1,1,APT.,ROSÉ & Bruno Mars,8,117909169,-0.05%,https://www.youtube.com/watch?v=ekr2nIex040
2,2,Die With A Smile,Lady Gaga & Bruno Mars,17,63227456,0.03%,https://www.youtube.com/watch?v=kPa7bsKwL-c
3,3,Aaj Ki Raat,Madhubanti Bagchi & Divya Kumar & Sachin Jigar,20,49760573,-0.02%,https://www.youtube.com/watch?v=roz9sXFkTuE
4,4,Peelings,Kandukuri Shankar Babu & Laxmi Dasa,2,43794038,0.09%,https://www.youtube.com/watch?v=8RAd-_Qj_ac
5,6,All I Want for Christmas Is You,Mariah Carey,64,35719591,0.14%,https://www.youtube.com/watch?v=aAkMkVFwAoo
6,5,Tu Boda,Óscar Maydon & Fuerza Regida,9,35134613,-0.08%,https://www.youtube.com/watch?v=_ymicn0_GYc
7,10,Kissik,Sublahshini,3,34707199,0.47%,https://www.youtube.com/watch?v=3C1n5lqGdmY
8,n/a,toxic till the end,ROSÉ,1,31484741,n/a,https://www.youtube.com/watch?v=eA0lHNZ1KCA
9,7,Si Antes Te Hubiera Conocido,KAROL G,25,30624200,0.01%,https://www.youtube.com/watch?v=QCZZwZQ4qNs
10,8,Last Christmas,Wham!,45,29021809,0.15%,https://www.youtube.com/watch?v=E8gmARGvPlI
11,11,BIRDS OF A FEATHER,Billie Eilish,26,23055063,0.01%,https://www.youtube.com/watch?v=V9PVRfjEBTI
12,9,Hey Minnale,Haricharan & Shweta Mohan,7,21647152,-0.13%,https://www.youtube.com/watch?v=0Z3I8TSUwLI
13,12,Jo Tum Mere Ho,Anuv Jain,13,21341194,0%,https://www.youtube.com/watch?v=ilNt2bikxDI
14,n/a,Strategy (feat. Megan Thee Stallion),TWICE,1,21146229,n/a,https://www.youtube.com/watch?v=Sz_wWzgh-vQ
15,29,Khé?,Rauw Alejandro & Romeo Santos,4,20661386,0.44%,https://www.youtube.com/watch?v=7SNycTMOF74
16,14,Gata Only,FloyyMenor & Cris Mj,45,19257072,-0.01%,https://www.youtube.com/watch?v=-r687V8yqKY
17,16,Aayi Nai,Pawan Singh & Simran Choudhary & Divya Kumar & Sachin Jigar,19,18029013,-0.02%,https://www.youtube.com/watch?v=nFgsBxw-zWQ
18,17,संतोष पागल,Ankush Raja & Shivani Singh,12,17912059,0.01%,https://www.youtube.com/watch?v=jbzfK_PnDyo
19,13,Anchre Se Bandhal Dil Bandhale Rahe Da,Chand Ji   & Kalpana & Gaurav Roshan,3,17266885,-0.16%,https://www.youtube.com/watch?v=pCTqWslDviQ
20,95,Sooseki,Shreya Ghoshal,15,16842350,1.04%,https://www.youtube.com/watch?v=qxbHtcfHq2s
21,19,Payal,Yo Yo Honey Singh & Paradox,4,16797907,-0.03%,https://www.youtube.com/watch?v=a-PAcmi5Kas
22,15,Kabootri,Diler Kharkiya,7,16527995,-0.11%,https://www.youtube.com/watch?v=ODG7QhpruR0
23,22,Espresso,Sabrina Carpenter,35,16455879,0%,https://www.youtube.com/watch?v=eVli-tstM5E
24,21,Beautiful Things,Benson Boone,46,16237937,-0.02%,https://www.youtube.com/watch?v=Oa_RSwwpPaA
25,23,Lose Control (Live),Teddy Swims,47,16174012,0%,https://www.youtube.com/watch?v=GZ3zL7kT6_c
26,20,Chuttamalle,Shilpa Rao,19,15891854,-0.05%,https://www.youtube.com/watch?v=5vsOv_bcnhs
27,26,number one girl,ROSÉ,3,15247419,0.01%,https://www.youtube.com/watch?v=pZ1NdE69VTs
28,27,+57 (feat. Ovy On The Drums J Balvin Maluma Ryan Castro & Blessd),KAROL G & Feid & DFZM,5,14900636,0.01%,https://www.youtube.com/watch?v=5r5UePOgMQU
29,25,DRIP,BABYMONSTER,6,14437866,-0.05%,https://www.youtube.com/watch?v=Zp-Jhuhq0bQ
30,18,FUNK DO BOUNCE,Ariis,9,14365702,-0.18%,https://www.youtube.com/watch?v=mjsJzKry6E0
31,32,Whiplash,aespa,8,13788299,-0.03%,https://www.youtube.com/watch?v=jWQx2f-CErU
32,34,Ishq,Faheem Abdullah & Rauhan Malik,17,13552684,-0.02%,https://www.youtube.com/watch?v=IJeSR-LJBnk
33,28,DOS DÍAS,Tito Double P & Peso Pluma,12,13399421,-0.07%,https://www.youtube.com/watch?v=nne3lXKc1OU
34,41,Snowman,Sia,29,13255503,0.07%,https://www.youtube.com/watch?v=gset79KMmt0
35,38,ใจเป็นนาย กายเป็นบ่าว,Lek Pongsatorn,2,13223080,0.05%,https://www.youtube.com/watch?v=qGOdhkd9hdw
36,39,Presidente,Gabito Ballesteros & Natanael Cano & Luis R Conriquez & Neton Vega,7,13195367,0.05%,https://www.youtube.com/watch?v=x6UvVnZ-VBE
37,30,Barbie,MC Tuto & DJ Glenner,8,13006876,-0.09%,https://www.youtube.com/watch?v=CRCQ6Btlllc
38,n/a,ROSONES,Jorsshh & Fuerza Regida,1,12963849,n/a,https://www.youtube.com/watch?v=9SsSl3qoOSw
39,35,Soltera,Shakira,11,12928376,-0.04%,https://www.youtube.com/watch?v=oBofuVYDoG4
40,33,EL LOKERÓN,Tito Double P,13,12674349,-0.08%,https://www.youtube.com/watch?v=54YpK2I6BM8
41,n/a,Godari Gattu Meedha,Ramana Gogula & Madhupriya,1,12624785,n/a,https://www.youtube.com/watch?v=L8s6qxQJKgk
42,31,Bye Bye Bye,*NSYNC,20,12523715,-0.12%,https://www.youtube.com/watch?v=Eo-KmOd3i7s
43,45,SI NO ES CONTIGO,Cris Mj,28,12140737,0%,https://www.youtube.com/watch?v=vX1fgqKXSsk
44,47,Wavy,Karan Aujla,4,11745980,0%,https://www.youtube.com/watch?v=XTp5jaRU3Ws
45,49,DEPORTIVO,Blessd & Anuel AA & Ovy On The Drums,4,11682212,0.01%,https://www.youtube.com/watch?v=vf2N-7AUHB4
46,51,Latak Jaiba,Khesari Lal Yadav & Shilpi Raj,3,11678173,0.03%,https://www.youtube.com/watch?v=IRQFN5TAjiY
47,n/a,Aaye Haaye,Karan Aujla & Neha Kakkar & Jay Trak,1,11638287,n/a,https://www.youtube.com/watch?v=uChhQpHMmXE
48,24,HOME SWEET HOME (feat. TAEYANG & DAESUNG),G-DRAGON,3,11600058,-0.28%,https://www.youtube.com/watch?v=fLi0EJfi_vg
49,46,पलंग सागवान के,Khesari Lal Yadav & Indu Sonali,47,11517386,-0.05%,https://www.youtube.com/watch?v=igQCv_Y33NI
50,69,NADIE,Tito Double P,3,11194147,0.1%,https://www.youtube.com/watch?v=sI2TE_hYFYQ
51,54,WILDFLOWER,Billie Eilish,12,11136632,0%,https://www.youtube.com/watch?v=IWKyykQBRKo
52,48,Millionaire,Yo Yo Honey Singh,16,11088802,-0.05%,https://www.youtube.com/watch?v=XO8wew38VM8
53,40,Manasilaayo,Malaysia Vasudevan & Yugendran Vasudevan & Anirudh Ravichander & Deepthi Suresh  ,14,10995995,-0.12%,https://www.youtube.com/watch?v=AiD6SOOBKZI
54,77,Roast Yourself Challenge - Las Hermanitas de Yolo Aventuras,Yolo Aventuras,2,10972695,0.16%,https://www.youtube.com/watch?v=zXKmHe71Wa4
55,58,सड़िया,Pawan Singh & Shivani Singh,17,10953155,0%,https://www.youtube.com/watch?v=j1PFv7qIPXo
56,44,Russian Bandana,Dhanda Nyoliwala,5,10853081,-0.11%,https://www.youtube.com/watch?v=1OAjeECW90E
57,63,Bing Bong,Yailin la Mas Viral & Puyalo Pantera,4,10831180,0.02%,https://www.youtube.com/watch?v=YpoUzo-CflQ
58,71,blue,yung kai,2,10682522,0.1%,https://www.youtube.com/watch?v=98zHKN-xSHk
59,57,Victory Anthem,Khushi TDT & Lash curry & Audiocrackerr,3,10622665,-0.04%,https://www.youtube.com/watch?v=clNXfAcaDrM
60,61,Malvadinho,MC LUUKY & dj jb mix,5,10497989,-0.02%,https://www.youtube.com/watch?v=vyIc6LbHzQs
61,55,A Danada Me Ligando,MC Cebezinho & Dj Oreia & MC Tuto & Love Funk & Mc Kako,15,10370018,-0.07%,https://www.youtube.com/watch?v=Ps042FNImds
62,59,Mere Mehboob,Shilpa Rao & Sachet Tandon,10,10315595,-0.06%,https://www.youtube.com/watch?v=UdsO4SM4wKI
63,n/a,Coqueta (Remix),Heredero Carranga & Jessi Uribe,1,10281956,n/a,https://www.youtube.com/watch?v=uswZszIYTj0
64,67,Balamuwa Ke Ballam,Samar Singh & Neha Raj,16,10272455,-0.01%,https://www.youtube.com/watch?v=B_Y2Ya4e9PY
65,75,बलमा कदर ना जाने,Dhananjay Dhadkan,3,10200066,0.07%,https://www.youtube.com/watch?v=dnTpJbxEpT8
66,66,Coração Partido (Corazón Partío) (Ao Vivo),Grupo Menos É Mais,10,10187333,-0.02%,https://www.youtube.com/watch?v=n5wxZ_OBUXk
67,60,Mantra,JENNIE,9,10134582,-0.07%,https://www.youtube.com/watch?v=bB3-CUMERIU
68,56,オトノケ,Creepy Nuts,9,10114873,-0.09%,https://www.youtube.com/watch?v=tRwHpyOq4P4
69,83,Rockin' Around The Christmas Tree,Brenda Lee,5,10111551,0.14%,https://www.youtube.com/watch?v=TFsZy9t-qDc
70,93,Jingle Bell Rock,Bobby Helms,5,9900046,0.18%,https://www.youtube.com/watch?v=Z0ajuTaHBtM
71,65,कमर मे परेशानी बा,Amit Star Gorakhpuri & Shilpi Raj,5,9896445,-0.06%,https://www.youtube.com/watch?v=PWkYxHRWP3k
72,68,365 Dias (Vida Mansa),MC Marks & MC Ryan SP & MC Jvila & DJ Dael & MC Bruno MS &  Mc Magal   & Aaron Modesto,6,9705911,-0.05%,https://www.youtube.com/watch?v=mKnWiHSPU2A
73,62,tv off (feat. Lefty GunPlay),Kendrick Lamar,3,9507365,-0.11%,https://www.youtube.com/watch?v=U8F5G5wR1mk
74,70,आहो राजा,Pawan Singh,2,9400126,-0.07%,https://www.youtube.com/watch?v=Kx4c66-GjgE
75,78,धरS कमर राजा जी,Neelkamal Singh,5,9396153,0.01%,https://www.youtube.com/watch?v=sAloiE9-OIA
76,n/a,Pushpa Pushpa,Nakash Aziz & Deepak Blue,9,9338245,n/a,https://www.youtube.com/watch?v=EdvydlHCViY
77,84,Khati Gorur Dudh,Rasel Babu & Afroj jahan Asha & Fk Babu,2,9220069,0.04%,https://www.youtube.com/watch?v=CKMFDE_fTbY
78,81,अपना राजा जी के,Pawan Singh & Shilpi Raj,7,9181758,-0.01%,https://www.youtube.com/watch?v=h8j4YCC5lKk
79,n/a,จื่อบ่,ก้านตอง ทุ่งเงิน,2,9157457,n/a,https://www.youtube.com/watch?v=i8vDcBKzh6o
80,74,Rey Sin Reina,Julión Álvarez y su Norteño Banda,13,9111410,-0.04%,https://www.youtube.com/watch?v=ElRVZ09939k
81,64,Bam Lagatar,Khushi Kakkar,15,9026485,-0.15%,https://www.youtube.com/watch?v=KMouL_2HKvM
82,87,اول مرة,حمزة المحمداوي,6,8984000,0.03%,https://www.youtube.com/watch?v=ETPU2RY_aCY
83,73,Raanjhan,Parampara Thakur,5,8947352,-0.06%,https://www.youtube.com/watch?v=kcvDPUZer7I
84,99,Morena Canela,Chino Pacas,3,8894722,0.09%,https://www.youtube.com/watch?v=j9HE268Um30
85,97,Última Noite,Léo Foguete,8,8851177,0.08%,https://www.youtube.com/watch?v=RP9uZiiWMU4
86,n/a,EL CLúB,Bad Bunny,1,8722252,n/a,https://www.youtube.com/watch?v=7f6SxWMOpdU
87,86,मरद हS माथा के दरद,Shivani Singh,6,8617564,-0.01%,https://www.youtube.com/watch?v=VygV7LqbUSU
88,76,Morni,Badshah & Sharvi Yadav,3,8559484,-0.09%,https://www.youtube.com/watch?v=Zrt77f7nTqY
89,80,LA PATRULLA,Peso Pluma & Neton Vega,19,8549497,-0.08%,https://www.youtube.com/watch?v=Fr9rMmMp3mY
90,53,squabble up,Kendrick Lamar,3,8539822,-0.24%,https://www.youtube.com/watch?v=fuV4yQWdn_4
91,90,AURA,Ogryzek,8,8478868,-0.01%,https://www.youtube.com/watch?v=7E8CgqNRLS8
92,n/a,Santa Tell Me,Ariana Grande,14,8478053,n/a,https://www.youtube.com/watch?v=nlR0MkrRklg
93,n/a,I Love You,Celine Dion,2,8420592,n/a,https://www.youtube.com/watch?v=JAeUm1kJrlI
94,n/a,Descer Pra BC,Brenno & Matheus & DJ Ari SL,1,8402905,n/a,https://www.youtube.com/watch?v=U6reD8UVa0E
95,89,QUE VAS HACER HOY?,DE LA ROSE & Omar Courtz,11,8332317,-0.04%,https://www.youtube.com/watch?v=Lu8u_SEjt1Y
96,96,Sailor Song,Gigi Perez,5,8263616,0%,https://www.youtube.com/watch?v=1lrFsXkT_rM
97,88,ESCAPATE,Tito Double P & Chino Pacas,13,8245789,-0.05%,https://www.youtube.com/watch?v=KIvwGI4eDGg
98,91,luther,Kendrick Lamar & SZA,3,8240158,-0.03%,https://www.youtube.com/watch?v=Tv3vbJTzmfg
99,92,Sajna Ve Sajna,Sunidhi Chauhan & Divya Kumar,9,8024787,-0.05%,https://www.youtube.com/watch?v=DTxziqyBoUo
100,43,Empty Out Your Pockets,Juice WRLD,2,8010042,-0.35%,https://www.youtube.com/watch?v=hgYhws0AHcg
